id,group
Kaisa,10
Tryndamere,10
Diana,20
Alistar,4
Khazix,13
Sylas,4
MissFortune,5
Viego,29
Vex,15
Jinx,32
Lux,13
Akali,23
Kayn,30
Yuumi,25
Ezreal,1
Graves,4
Lulu,21
Aphelios,24
Ekko,33
Tristana,18
LeeSin,6
Thresh,28
Jhin,0
Caitlyn,26
Nocturne,8
Irelia,20
Morgana,2
Talon,14
Lucian,3
Nunu,9
Karma,14
Zed,19
Darius,18
Lillia,34
Yone,2
Brand,8
Fiora,31
Leblanc,36
Senna,14
Katarina,23
Leona,27
Samira,17
Taliyah,2
Braum,4
Vayne,12
Mordekaiser,7
Yasuo,7
Pyke,7
Ziggs,31
TwistedFate,24
Viktor,25
MasterYi,23
Seraphine,5
Teemo,9
Riven,10
Nautilus,14
Shaco,9
Lissandra,3
Amumu,10
Ashe,8
Jax,2
TahmKench,21
KogMaw,21
Orianna,29
Olaf,1
Malphite,8
Warwick,7
Zilean,12
Camille,24
Kennen,0
Shen,16
Janna,5
XinZhao,15
Zac,32
Trundle,22
Xerath,22
Karthus,19
Galio,17
Ahri,26
Blitzcrank,35
Gragas,7
Nidalee,16
Renekton,16
Nami,33
Anivia,9
Sett,11
Twitch,11
Akshan,34
Fizz,25
Swain,11
Kindred,8
Velkoz,1
Evelynn,19
Soraka,18
Aatrox,15
Elise,11
Hecarim,15
Maokai,16
Rakan,6
Poppy,26
Jayce,22
Volibear,2
Malzahar,12
Sona,1
Rell,17
Pantheon,9
JarvanIV,17
Garen,27
Cassiopeia,6
Neeko,6
Zoe,18
Vi,12
Gwen,28
Rumble,2
Shyvana,3
RekSai,3
DrMundo,13
Xayah,6
FiddleSticks,20
Kassadin,35
Draven,19
Heimerdinger,4
Zyra,20
Gnar,3
Syndra,27
Vladimir,30
MonkeyKing,28
Qiyana,21
Ryze,29
Annie,1
Ornn,30
Kalista,10
Chogath,5
Illaoi,13
Sejuani,5
Veigar,11
Varus,22
Rengar,3
Nasus,36
Sivir,4
Kayle,1
Rammus,12
Urgot,5
Sion,13
Bard,1
Yorick,1
Gangplank,1
Azir,6
